127.0.0.1 - - [03/Jul/2017:09:52:45 +0200] "GET / HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:53:26 +0200] "GET /Smart_SellingWebApp/Connect HTTP/1.1" 200 54746
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:53:26 +0200] "GET /Smart_SellingWebApp/style/style.css HTTP/1.1" 200 100102
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:53:26 +0200] "GET /Smart_SellingWebApp/script/sha512.js HTTP/1.1" 200 12816
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:53:27 +0200] "GET /Smart_SellingWebApp/script/sendrequest.js HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:53:27 +0200] "GET /Smart_SellingWebApp/script/popup.js HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:58:32 +0200] "GET /Smart_SellingWebApp/Connect HTTP/1.1" 200 54746
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:58:32 +0200] "GET /Smart_SellingWebApp/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:58:32 +0200] "GET /Smart_SellingWebApp/script/sha512.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:58:32 +0200] "GET /Smart_SellingWebApp/script/popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2017:09:58:32 +0200] "GET /Smart_SellingWebApp/script/sendrequest.js HTTP/1.1" 304 -
